Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Personalization.FileInsightCacheManager.PurgeExpiredCache","Flags":28147523457712385,"InternalSequenceNumber":53,"Time":"2021-07-27T22:09:32.446Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.7","Activity.Duration":545,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"StatusCode","Activity.Result.Tag":36540889,"Data.SubDirectory":"Insights","Data.NumberOfFiles":0,"Data.NumberOfDeletedFiles":0}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Personalization.FileInsightCacheManager.PurgeExpiredCache","Flags":28147523457712385,"InternalSequenceNumber":54,"Time":"2021-07-27T22:09:32.446Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.8","Activity.Duration":128,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"StatusCode","Activity.Result.Tag":36540889,"Data.SubDirectory":"DataStore","Data.NumberOfFiles":0,"Data.NumberOfDeletedFiles":0}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Personalization.FileInsightCacheManager.PurgeExpiredCache","Flags":28147523457712385,"InternalSequenceNumber":55,"Time":"2021-07-27T22:09:32.446Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.9","Activity.Duration":964,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"StatusCode","Activity.Result.Tag":36540889,"Data.SubDirectory":"Governance","Data.NumberOfFiles":0,"Data.NumberOfDeletedFiles":0}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":56,"Time":"2021-07-27T22:09:32.446Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":9320,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Personalization.FileInsightCacheManager.PurgeExpiredCache","Flags":28147523457712385,"InternalSequenceNumber":57,"Time":"2021-07-27T22:09:32.446Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.10","Activity.Duration":2087,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"StatusCode","Activity.Result.Tag":36540889,"Data.SubDirectory":"Content","Data.NumberOfFiles":0,"Data.NumberOfDeletedFiles":0}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Globalization.PluggableUI.PlugUIAsyncReport","Flags":28147506277843201,"InternalSequenceNumber":58,"Time":"2021-07-27T22:09:32.446Z","Data.PrimaryEditingLanguage":"en-GB","Data.UIFallbackList":"x-none;nb-no;en-us;","Data.HelpFallbackList":"x-none;nb-no;en-us;"}	
07/27/2021 22:09:32.446	WINWORD (0x2AB8)	0x2E00	Microsoft Word	Identity Authentication Client	csqqj	Medium	[IdentityManager::WaitForBackgroundThreads] {"Message":"Background task worker is completed"}	
